CPF,Valor da DAS
,"3440,75"
,"6223,98"
,"1620,88"
,"3440,75"
,"8174,03"
,"13623,39"
,"10373,3"
,"10373,3"
,"10373,3"
,"2701,46"
,"2521,36"
,"8174,03"
,"8174,03"
,"13623,39"
,"13623,39"
,"6223,98"
,"10373,3"
,"6223,98"
,"6223,98"
,"5685,55"
,"1620,88"
,"5685,55"
,"5685,55"
,"8174,03"
,"3440,75"
,"3440,75"
,"6223,98"
,"2064,45"
,"6223,98"
,"10373,3"
,"8174,03"
,"2701,46"
,"10166,94"
,"3411,33"
,"8174,03"
,"6223,98"
,"5685,55"
,"3440,75"
,"6223,98"
,"2064,45"
,"8174,03"
,"3411,33"
,"6223,98"
,"6223,98"
,"2701,46"
,"6223,98"
,"2701,46"
,"6223,98"
,"3411,33"
,"2701,46"
,"3440,75"
,"5685,55"
,"13623,39"
,"3440,75"
,"3440,75"
,"6223,98"
,"10373,3"
,"5685,55"
,"2064,45"
,"3411,33"
,"13623,39"
,"6223,98"
,"13623,39"
,"6223,98"
,"13623,39"
,"10373,3"
,"1620,88"
,"3440,75"
,"5685,55"
,"10373,3"
,"3440,75"
,"6223,98"
,"6223,98"
,"2064,45"
,"8174,03"
,"2701,46"
,"3411,33"
,"3411,33"
,"2701,46"
,"3440,75"
,"3440,75"
,"13623,39"
,"8174,03"
,"8174,03"
,"2064,45"
,"3440,75"
,"6223,98"
,"1620,88"
,"2701,46"
,"1620,88"
,"6223,98"
,"2064,45"
,"3411,33"
,"2286,23"
,"1620,88"
,"8174,03"
,"6223,98"
,"3411,33"
,"6223,98"
,"3440,75"
,"2064,45"
,"6223,98"
,"3440,75"
,"3440,75"
,"2064,45"
,"6223,98"
,"8174,03"
,"8174,03"
,"8174,03"
,"6223,98"
,"6223,98"
,"2701,46"
,"3440,75"
,"5685,55"
,"10373,3"
,"6223,98"
,"5685,55"
,"5685,55"
,"3440,75"
,"2064,45"
,"3440,75"
,"2064,45"
,"1620,88"
,"1620,88"
,"1620,88"
,"2064,45"
,"1620,88"
,"1620,88"
,"2064,45"
,"6223,98"
,"1620,88"
,"1620,88"
,"1620,88"
,"1620,88"
,"6223,98"
,"5685,55"
,"1620,88"
,"2064,45"
,"5685,55"
,"2701,46"
,"8174,03"
,"8174,03"
,"5685,55"
,"6223,98"
,"5685,55"
,"5685,55"
,"2064,45"
,"1134,61"
,"1620,88"
,"1620,88"
,"2064,45"
,"2064,45"
,"2107,14"
,"2064,45"
,"6223,98"
,"3411,33"
,"2064,45"
,"3411,33"
,"3411,33"
,"2701,46"
,"2064,45"
,"5685,55"
,"6223,98"
,"3440,75"
,"2064,45"
,"6223,98"
,"3411,33"
,"2064,45"
,"3411,33"
,"2064,45"
,"1620,88"
,"1620,88"
,"2064,45"
,"1620,88"
,"3440,75"
,"1620,88"
,"2064,45"
,"6223,98"
,"5685,55"
,"5685,55"
,"1620,88"
,"2339,71"
,"3411,33"
,"3440,75"
,"10373,3"
,"2971,6"
,"3440,75"
,"10373,3"
,"2701,46"
,"3440,75"
,"3440,75"
,"1620,88"
,"1620,88"
,"3440,75"
,"3440,75"
,"2064,45"
,"3440,75"
,"2701,46"
,"3411,33"
,"1620,88"
,"3440,75"
,"10373,3"
,"3440,75"
,"2701,46"
,"10373,3"
,"2064,45"
,"10373,3"
,"5685,55"
,"3440,75"
,"6223,98"
,"10373,3"
,"3440,75"
,"2701,46"
,"6223,98"
,"3440,75"
,"3440,75"
,"2701,46"
,"3440,75"
,"2701,46"
,"4412,38"
,"3440,75"
,"3440,75"
,"2701,46"
,"2701,46"
,"2701,46"
,"2408,53"
,"3440,75"
,"2064,45"
,"5685,55"
,"3440,75"
,"3440,75"
,"3440,75"
,"3440,75"
,"5685,55"
,"8174,03"
,"13623,39"
,"3411,33"
,"1620,88"
,"1620,88"
,"3411,33"
,"3411,33"
,"10373,3"
,"6223,98"
,"6223,98"
,"8174,03"
,"2064,45"
,"3440,75"
,"10373,3"
,"13623,39"
,"10373,3"
,"2755,5"
,"2701,46"
,"3440,75"
,"3440,75"
,"3440,75"
,"10373,3"
,"10373,3"
,"10373,3"
,"10373,3"
,"3440,75"
,"1620,88"
,"3440,75"
,"10373,3"
,"3440,75"
,"5685,55"
,"2521,36"
,"3440,75"
,"3440,75"
,"3440,75"
,"3440,75"
,"5685,55"
,"3411,33"
,"3440,75"
,"5685,55"
,"1620,88"
,"2701,46"
,"3440,75"
,"2701,46"
,"3440,75"
,"3440,75"
,"3440,75"
,"10373,3"
,"2701,46"
,"3440,75"
,"5685,55"
,"3440,75"
,"3440,75"
,"10373,3"
,"6223,98"
,"4376,37"
,"2064,45"
,"3440,75"
,"5685,55"
,"3440,75"
,"6223,98"
,"2701,46"
,"1620,88"
,"1620,88"
,"3440,75"
,"1620,88"
,"2701,46"
,"3440,75"
,"3440,75"
,"2064,45"
,"3440,75"
,"3411,33"
,"3440,75"
,"2701,46"
,"3411,33"
,"3440,75"
,"1620,88"
,"3440,75"
,"3440,75"
,"6223,98"
,"2064,45"
,"3440,75"
,"10373,3"
,"3440,75"
,"10373,3"
,"3440,75"
,"3440,75"
,"10373,3"
,"2701,46"
,"5685,55"
,"5685,55"
,"3440,75"
,"2701,46"
,"3440,75"
,"2064,45"
,"2701,46"
,"2701,46"
,"3440,75"
,"2701,46"
,"2701,46"
,"2701,46"
,"10373,3"
,"16944,9"
,"10166,94"
,"5685,55"
,"1620,88"
,"2701,46"
,"3440,75"
,"13623,39"
,"2701,46"
,"2701,46"
,"3440,75"
,"3440,75"
,"13623,39"
,"13623,39"
,"2701,46"
,"2701,46"
,"10373,3"
,"6223,98"
,"13623,39"
,"13623,39"
,"2701,46"
,"5685,55"
,"2701,46"
,"2701,46"
,"3440,75"
,"5685,55"
,"13623,39"
,"10373,3"
,"2701,46"
,"8174,03"
,"3440,75"
,"13623,39"
,"2701,46"
,"3440,75"
,"3440,75"
,"5685,55"
,"3440,75"
,"5685,55"
,"3440,75"
,"5685,55"
,"5685,55"
,"13623,39"
,"10373,3"
,"8174,03"
,"13623,39"
,"10373,3"
,"16944,9"
,"3440,75"
,"3440,75"
,"5685,55"
,"5685,55"
,"2701,46"
,"10373,3"
,"3440,75"
,"13623,39"
,"10373,3"
,"3440,75"
,"10373,3"
,"5685,55"
,"3440,75"
,"10373,3"
,"5685,55"
,"5685,55"
,"2701,46"
,"3440,75"
,"3440,75"
,"2701,46"
,"3440,75"
,"3440,75"
,"10373,3"
,"2701,46"
,"2701,46"
,"13623,39"
,"10373,3"
,"13623,39"
,"3440,75"
,"6223,98"
,"6223,98"
,"2701,46"
,"2701,46"
,"3440,75"
,"6223,98"
,"2701,46"
,"3440,75"
,"2521,36"
,"2701,46"
,"5685,55"
,"3440,75"
,"2701,46"
,"2701,46"
,"3440,75"
,"5685,55"
,"3440,75"
,"3440,75"
,"10373,3"
,"5685,55"
,"3440,75"
,"3440,75"
,"3440,75"
,"5685,55"
,"3440,75"
,"2701,46"
,"3440,75"
,"2701,46"
,"6223,98"
,"10373,3"
,"3440,75"
,"3440,75"
,"2701,46"
,"5685,55"
,"3440,75"
,"5685,55"
,"5685,55"
,"3871,98"
,"5685,55"
,"3440,75"
,"3440,75"
,"2701,46"
,"3440,75"
,"2701,46"
,"5685,55"
,"3440,75"
,"3691,99"
,"3151,66"
,"3151,66"
,"3511,89"
,"3151,66"
,"4702,35"
,"3890,95"
,"3691,99"
,"7201,69"
,"2521,36"
,"4587,67"
,"3096,68"
,"1981,07"
,"1891,02"
,"2341,27"
,"6915,53"
,"1350,73"
,"2064,45"
,"5685,55"
,"6223,98"
,"3411,33"
,"3411,33"
,"5685,55"
,"2701,46"
,"2701,46"
,"5685,55"
,"1620,88"
,"5685,55"
,"6358,99"
,"5685,55"
,"2701,46"
,"3440,75"
,"3440,75"
,"2701,46"
,"5685,55"
,"3440,75"
,"5685,55"
,"2701,46"
,"11756,4"
,"3440,75"
,"10373,3"
,"3440,75"
,"5685,55"
,"10373,3"
,"3440,75"
,"3440,75"
,"2323,14"
,"3440,75"
,"2701,46"
,"1620,88"
,"5685,55"
,"2064,45"
,"3440,75"
,"3440,75"
,"3440,75"
,"5685,55"
,"6223,98"
,"3411,33"
,"5685,55"
,"3440,75"
,"3440,75"
,"3411,33"
,"3440,75"
,"10373,3"
,"8174,03"
,"8174,03"
,"3440,75"
,"10373,3"
,"2064,45"
,"6223,98"
,"2064,45"
,"3440,75"
,"10373,3"
,"6223,98"
,"10373,3"
,"5685,55"
,"5306,51"
,"2956,49"
,"10373,3"
,"10373,3"
,"3416,11"
,"10373,3"
,"2701,46"
,"8174,03"
,"6223,98"
,"2701,46"
,"6223,98"
,"1789,19"
,"6223,98"
,"2064,45"
,"2521,36"
,"2701,46"
,"13623,39"
,"3440,75"
,"2701,46"
,"6223,98"
,"3440,75"
,"3411,33"
,"6223,98"
,"1620,88"
,"3411,33"
,"2064,45"
,"3411,33"
,"1620,88"
,"1620,88"
,"13078,45"
,"1620,88"
,0
,"5685,55"
,"5685,55"
,"10373,3"
,"2064,45"
,"6223,98"
,"10373,3"
,"13623,39"
,"5685,55"
,"5685,55"
,"2701,46"
,"19086,87"
,"5685,55"
,"10373,3"
,"13623,39"
,"8174,03"
,"13623,39"
,"10373,3"
,"1620,88"
,"1620,88"
,"2064,45"
,"1620,88"
,"6223,98"
,"1620,88"
,"2064,45"
,"3411,33"
,"3440,75"
,"8174,03"
,"8174,03"
,"8174,03"
,"6223,98"
,"5176,89"
,"10373,3"
,"6223,98"
,"6223,98"
,"3440,75"
,"10373,3"
,"10166,94"
,"3440,75"
,"6223,98"
,"3411,33"
,"5186,65"
,"6223,98"
,"6223,98"
,"6223,98"
,"6223,98"
,"3411,33"
,"3440,75"
,"16944,9"
,"10373,3"
,"6223,98"
,"2701,46"
,"8174,03"
,"2701,46"
,"10373,3"
,"4356,79"
,"5685,55"
,"6223,98"
,"5685,55"
,"10373,3"
,"5685,55"
,"13623,39"
,"2064,45"
,"3440,75"
,"8174,03"
,"13623,39"
,"10373,3"
,"5685,55"
,"2701,46"
,"3440,75"
,"2701,46"
,"13623,39"
,"5685,55"
,"2064,45"
,"2064,45"
,"3440,75"
,"4434,73"
,"4442,63"
,"8174,03"
,"2701,46"
,"2064,45"
,"1620,88"
,"3411,33"
,"1512,82"
,"3411,33"
,"6223,98"
,"1620,88"
,"3411,33"
,"3411,33"
,"3411,33"
,"6223,98"
,"3411,33"
,"2701,46"
,"6223,98"
,"10373,3"
,"6223,98"
,"3440,75"
,"6223,98"
,"10166,94"
,"10373,3"
,"10373,3"
,"5685,55"
,"5685,55"
,"6223,98"
,"3440,75"
,"8174,03"
,"8174,03"
,"6223,98"
,"3440,75"
,"2701,46"
,"3795,62"
,"8174,03"
,"2701,46"
,"3440,75"
,"6223,98"
,"3411,33"
,"1620,88"
,"1620,88"
,"3411,33"
,"1620,88"
,"3411,33"
,"3411,33"
,"3411,33"
,"1620,88"
,"6223,98"
,"6223,98"
,"3411,33"
,"5685,55"
,"5685,55"
,"3411,33"
,"2064,45"
,"1620,88"
,"1620,88"
,"3440,75"
,"3411,33"
,"1620,88"
,"1620,88"
,"6223,98"
,"3440,75"
,"1620,88"
,"15145,02"
,"5685,55"
,"12447,96"
,"5685,55"
,"10373,3"
,"3440,75"
,"8174,03"
,"2701,46"
,"2701,46"
,"2701,46"
,"3440,75"
,"3440,75"
,"3440,75"
,"2701,46"
,"3440,75"
,"6223,98"
,"1620,88"
,"6254,1"
,"3440,75"
,"3440,75"
,"2701,46"
,"2701,46"
,"3440,75"
,"5685,55"
,"10166,94"
,"3440,75"
,"5685,55"
,"12648,36"
,"6223,98"
,"2701,46"
,"2701,46"
,"5685,55"
,"10373,3"
,"10373,3"
,"3440,75"
,"3440,75"
,"5685,55"
,"3440,75"
,"2701,46"
,"2701,46"
,"3440,75"
,"2701,46"
,"2064,45"
,"10373,3"
,"6223,98"
,"2701,46"
,"3411,33"
,"6223,98"
,"1620,88"
,"5685,55"
,"6846,38"
,"3411,33"
,"3440,75"
,"10373,3"
,"10373,3"
,"2701,46"
,"2701,46"
,"3440,75"
,"3440,75"
,"2701,46"
,"2701,46"
,"2701,46"
,"2701,46"
,"2701,46"
,"3440,75"
,"2701,46"
,"3440,75"
,"10373,3"
,"10373,3"
,"10373,3"
,"6223,98"
,"10373,3"
,"2701,46"
,"8174,03"
,"10373,3"
,"5685,55"
,"10373,3"
,"10373,3"
,"10373,3"
,"2701,46"
,"16944,9"
,"6223,98"
,"8174,03"
,"8174,03"
,"6223,98"
,"5685,55"
,"10373,3"
,"13623,39"
,"10373,3"
,"2701,46"
,"2701,46"
,"10373,3"
,"2701,46"
,"3440,75"
,"8174,03"
,"13623,39"
,"10373,3"
,"10373,3"
,"5685,55"
,"3440,75"
,"13623,39"
,"10373,3"
,"5685,55"
,"6223,98"
,"10373,3"
,"3440,75"
,"13623,39"
,"2701,46"
,"2701,46"
,"6223,98"
,"10373,3"
,"10373,3"
,"5685,55"
,"2701,46"
,"22593,2"
,"8149,29"
,"4817,05"
,"6223,98"
,"1620,88"
,"3440,75"
,"8174,03"
,"8174,03"
,"1620,88"
,"3440,75"
,"6223,98"
,"5685,55"
,"5685,55"
,"2064,45"
,"5176,89"
,"2064,45"
,"6223,98"
,"3440,75"
,"5685,55"
,"5685,55"
,"10373,3"
,"6223,98"
,"6223,98"
,"3440,75"
,"2701,46"
,"5685,55"
,"2701,46"
,"1620,88"
,"2064,45"
,"3440,75"
,"16944,9"
,"2064,45"
,"1620,88"
,"1620,88"
,"2064,45"
,"3411,33"
,"2064,45"
,"1620,88"
,"1620,88"
,"3411,33"
,"2064,45"
,"1620,88"
,"1620,88"
,"2064,45"
,"1620,88"
,"1620,88"
,"2064,45"
,"3411,33"
,"2064,45"
,"1620,88"
,"1620,88"
,"1620,88"
,"1620,88"
,"1620,88"
,"3411,33"
,"2064,45"
,"2064,45"
,"3411,33"
,"1620,88"
,"2064,45"
,"2064,45"
,"1620,88"
,"2064,45"
,"2064,45"
,"1620,88"
,"1620,88"
,"1620,88"
,"1620,88"
,"1620,88"
,"1620,88"
,"3440,75"
,"2701,46"
,"1620,88"
,"5685,55"
,"5685,55"
,"1620,88"
,"2701,46"
,"3440,75"
,"5685,55"
,"2701,46"
,"5685,55"
,"5685,55"
,"5685,55"
,"5685,55"
,"5685,55"
,"3440,75"
,"5685,55"
,"3440,75"
,"3440,75"
,"5685,55"
,"2701,46"
,"5685,55"
,"2701,46"
,"2701,46"
,"2701,46"
,"2701,46"
,"5685,55"
,"2701,46"
,"3440,75"
,"5685,55"
,"5685,55"
,"3440,75"
,"5685,55"
,"5685,55"
,"5685,55"
,"2701,46"
,"5685,55"
,"3440,75"
,"5685,55"
,"5685,55"
,"5685,55"
,"5685,55"
,"2701,46"
,"2701,46"
,"5685,55"
,"3411,33"
,"2701,46"
,"3440,75"
,"5685,55"
,"2701,46"
,"2701,46"
,"2701,46"
,"5685,55"
,"3440,75"
,"3440,75"
,"3440,75"
,"3440,75"
,"3440,75"
,"3440,75"
,"3440,75"
,"16944,9"
,"5685,55"
,"2701,46"
,"2701,46"
,"2701,46"
,"3440,75"
,"2701,46"
,"2701,46"
,"3440,75"
,"5685,55"
,"2701,46"
,"3440,75"
,"3411,33"
,"2064,45"
,"8174,03"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"3411,33"
,"2064,45"
,"3411,33"
,"8174,03"
,"1620,88"
,"1620,88"
,"3411,33"
,"2064,45"
,"6223,98"
,"2064,45"
,"6223,98"
,"1620,88"
,"2064,45"
,"1620,88"
,"1620,88"
,"2064,45"
,"1620,88"
,"2064,45"
,"3411,33"
,"3411,33"
,"3411,33"
,"6223,98"
,"6223,98"
,"1620,88"
,"6223,98"
,"2064,45"
,"3411,33"
,"6223,98"
,"3411,33"
,"3411,33"
,"3411,33"
,"2064,45"
,"2064,45"
,"2064,45"
,"1620,88"
,"6223,98"
,"3411,33"
,"3411,33"
,"2064,45"
,"1620,88"
,"8174,03"
,"3411,33"
,"2064,45"
,"2701,46"
,"2064,45"
,"2064,45"
,"2064,45"
,"3411,33"
,"3411,33"
,"8174,03"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"1620,88"
,"6223,98"
,"1620,88"
,"2064,45"
,"6223,98"
,"3411,33"
,"3411,33"
,"6223,98"
,"2064,45"
,"10373,3"
,"6223,98"
,"3411,33"
,"2064,45"
,"3411,33"
,"2064,45"
,"2701,46"
,"5685,55"
,"1620,88"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"3411,33"
,"2064,45"
,"2064,45"
,"8174,03"
,"5685,55"
,"3440,75"
,"1620,88"
,"6223,98"
,"3411,33"
,"6223,98"
,"8174,03"
,"1620,88"
,"3411,33"
,"1620,88"
,"3440,75"
,"2064,45"
,"3440,75"
,"3411,33"
,"8174,03"
,"1620,88"
,"1620,88"
,"10373,3"
,"2064,45"
,"1620,88"
,"2064,45"
,"1620,88"
,"1620,88"
,"1620,88"
,"2701,46"
,"3411,33"
,"1620,88"
,"1620,88"
,"3411,33"
,"2701,46"
,"1620,88"
,"3411,33"
,"2701,46"
,"2064,45"
,"2701,46"
,"1620,88"
,"3411,33"
,"1620,88"
,"1620,88"
,"2701,46"
,"2701,46"
,"2701,46"
,"1620,88"
,"2064,45"
,"1620,88"
,"3411,33"
,"3440,75"
,"2064,45"
,"2064,45"
,"5685,55"
,"6223,98"
,"6223,98"
,"2064,45"
,"3411,33"
,"6223,98"
,"2270,9"
,"3411,33"
,"2064,45"
,"2064,45"
,"3411,33"
,"3411,33"
,"3440,75"
,"2757,7"
,"3411,33"
,"6223,98"
,"3411,33"
,"5685,55"
,"2701,46"
,"3440,75"
,"1620,88"
,"3411,33"
,"5685,55"
,"13623,39"
,"3440,75"
,"2064,45"
,"2064,45"
,"2890,23"
,"3411,33"
,"3411,33"
,"2064,45"
,"2064,45"
,"2064,45"
,"6223,98"
,"2064,45"
,"2064,45"
,"6223,98"
,"2064,45"
,"2064,45"
,"3411,33"
,"3411,33"
,"3411,33"
,"2064,45"
,"3411,33"
,"5685,55"
,"5685,55"
,"8174,03"
,"2064,45"
,"2064,45"
,"6223,98"
,"2064,45"
,"3411,33"
,"3440,75"
,"2701,46"
,"2701,46"
,"2064,45"
,"2064,45"
,"3440,75"
,"5685,55"
,"10373,3"
,"3440,75"
,"3411,33"
,"2701,46"
,"6223,98"
,"2064,45"
,"6223,98"
,"5685,55"
,"5685,55"
,"3411,33"
,"16944,9"
,"2701,46"
,"16944,9"
,"13623,39"
,"8174,03"
,"13623,39"
,"13623,39"
,"2064,45"
,"10373,3"
,"5685,55"
,"3411,33"
,"1620,88"
,"3411,33"
,"8174,03"
,"2064,45"
,"3411,33"
,"1620,88"
,"2064,45"
,"6223,98"
,"2064,45"
,"8174,03"
,"2064,45"
,"2064,45"
,"2064,45"
,"2064,45"
,"10166,94"
,"3411,33"
,"2064,45"
,"3411,33"
,"2160,51"
,"5685,55"
,"6223,98"
,"3411,33"
,"8174,03"
,"2064,45"
,"5685,55"
,"2064,45"
,"2064,45"
,"3411,33"
,"2064,45"
,"5685,55"
,"2064,45"
,"3440,75"
,"2701,46"
,"3411,33"
,"3440,75"
,"2064,45"
,"2064,45"
,"6223,98"
,"3411,33"
,"3411,33"
,"8174,03"
,"10373,3"
,"2064,45"
,"2064,45"
,"6223,98"
,"3411,33"
,"6223,98"
,"3411,33"
,"2064,45"
,"3411,33"
,"3411,33"
,"6223,98"
,"3440,75"
,"10166,94"
,"2064,45"
,"1620,88"
,"2064,45"
,"3411,33"
,"2064,45"
,"1620,88"
,"2064,45"
,"2064,45"
,"3411,33"
,"10373,3"
,"2064,45"
,"6223,98"
,"3411,33"
,"2064,45"
,"2064,45"
,"3411,33"
,"2064,45"
,"2064,45"
,"8174,03"
,"3411,33"
,"3411,33"
,"16944,9"
,"10373,3"
,"3440,75"
,"6223,98"
,"2064,45"
,"1620,88"
,"8174,03"
,"8174,03"
,"8174,03"
,"5685,55"
,"8174,03"
,"3411,33"
,"3411,33"
,"10166,94"
,"10166,94"
,"3411,33"
,"10373,3"
,"2064,45"
,"3440,75"
,"5685,55"
,"6223,98"
,"6223,98"
,"10373,3"
,"6223,98"
,"8174,03"
,"6223,98"
,"2701,46"
,"2064,45"
,"3411,33"
,"10166,94"
,"3411,33"
,"3440,75"
,"2064,45"
,"5685,55"
,"8174,03"
,"2701,46"
,"3411,33"
,"3411,33"
,"3411,33"
,"2064,45"
,"5685,55"
,"3411,33"
,"3411,33"
,"3411,33"
,"3411,33"
,"8174,03"
,"3411,33"
,"3411,33"
,"3411,33"
,"3411,33"
,"3411,33"
,"2064,45"
,"10373,3"
,"3411,33"
,"3440,75"
,"2064,45"
,"3411,33"
,"8174,03"
,"6223,98"
,"2701,46"
,"3411,33"
,"2701,46"
,"8174,03"
,"10373,3"
,"6223,98"
,"6223,98"
,"8174,03"
,"2064,45"
,"3411,33"
,"3411,33"
,"1620,88"
,"2064,45"
,"6223,98"
,"2064,45"
,"2064,45"
,"3411,33"
,"3411,33"
,"3411,33"
,"2064,45"
,"2064,45"
,"3411,33"
,"6223,98"
,"3411,33"
,"8174,03"
,"8174,03"
,"3411,33"
,"2064,45"
,"8174,03"
,"6223,98"
,"8174,03"
,"8174,03"
,"3440,75"
,"2064,45"
,"6223,98"
,"2701,46"
,"3411,33"
,"3411,33"
,"6223,98"
,"3411,33"
,"6223,98"
,"8174,03"
,"2701,46"
,"6223,98"
,"2064,45"
,"6223,98"
,"5685,55"
,"6223,98"
,"5942,72"
,"8174,03"
,"8174,03"
,"8174,03"
,"10166,94"
,"3411,33"
,"2064,45"
,"10373,3"
,"2064,45"
,"3411,33"
,"8174,03"
,"1620,88"
,"2064,45"
,"3411,33"
,"8174,03"
,"2064,45"
,"6223,98"
,"3411,33"
,"2701,46"
,"3440,75"
,"2064,45"
,"8174,03"
,"3440,75"
,"3411,33"
,"2064,45"
,"3411,33"
,"2064,45"
,"3411,33"
,"6223,98"
,"2064,45"
,"2064,45"
,"2064,45"
,"1620,88"
,"2064,45"
,"3411,33"
,"2064,45"
,"3411,33"
,"10166,94"
,"2701,46"
,"8174,03"
,"6223,98"
,"6223,98"
,"3411,33"
,"10166,94"
,"2064,45"
,"6223,98"
,"6223,98"
,"3411,33"
,"3440,75"
,"10373,3"
,"6223,98"
,"10373,3"
,"3411,33"
,"3440,75"
,"2064,45"
,"10373,3"
,"10373,3"
,"5685,55"
,"2064,45"
,"3411,33"
,"2064,45"
,"1620,88"
,"2701,46"
,"2064,45"
,"2064,45"
,"10373,3"
,"3411,33"
,"6223,98"
,"5473,94"
,"3411,33"
,"3411,33"
,"6223,98"
,"5685,55"
,"6223,98"
,"6223,98"
,"8174,03"
,"6223,98"
,"6223,98"
,"3411,33"
,"3411,33"
,"8174,03"
,"8174,03"
,"10373,3"
,"10373,3"
,"3440,75"
,"2064,45"
,"2064,45"
,"6223,98"
,"2064,45"
,"3411,33"
,"2064,45"
,"3440,75"
,"3411,33"
,"2701,46"
,"10373,3"
,"6223,98"
,"1620,88"
,"2064,45"
,"2064,45"
,"2064,45"
,"3411,33"
,"2064,45"
,"2064,45"
,"2064,45"
,"3411,33"
,"2064,45"
,"2064,45"
,"3411,33"
,"3411,33"
,"6223,98"
,"3411,33"
,"6223,98"
,"6223,98"
,"2064,45"
,"5685,55"
,"2064,45"
,"6223,98"
,"2064,45"
,"3411,33"
,"3411,33"
,"2064,45"
,"6223,98"
,"3411,33"
,"8174,03"
,"8174,03"
,"8174,03"
,"8174,03"
,"6223,98"
,"3411,33"
,"6223,98"
,"3411,33"
,"3411,33"
,"3411,33"
,"6223,98"
,"6223,98"
,"8174,03"
,"1620,88"
,"6223,98"
,"2064,45"
,"1620,88"
,"6223,98"
,"1620,88"
,"2064,45"
,"3411,33"
,"2064,45"
,"8174,03"
,"3411,33"
,"2064,45"
,"8174,03"
,"8174,03"
,"5685,55"
,"5685,55"
,"8174,03"
,"3440,75"
,"10373,3"
,"10373,3"
,"2064,45"
,"3411,33"
,"6223,98"
,"3411,33"
,"2064,45"
,"3411,33"
,"10373,3"
,"2701,46"
,"10373,3"
,"2064,45"
,"8174,03"
,"6223,98"
,"3411,33"
,"6223,98"
,"6223,98"
,"6223,98"
,"6223,98"
,"5685,55"
,"6223,98"
,"8174,03"
,"6223,98"
,"6223,98"
,"6223,98"
,"3411,33"
,"8174,03"
,"1620,88"
,"5685,55"
,"3440,75"
,"3411,33"
,"6223,98"
,"3411,33"
,"6223,98"
,"1620,88"
,"2064,45"
,"2064,45"
,"6223,98"
,"3411,33"
,"2064,45"
,"2064,45"
,"6223,98"
,"2064,45"
,"3411,33"
,"3411,33"
,"3411,33"
,"3411,33"
,"2064,45"
,"2064,45"
,"6223,98"
,"3411,33"
,"2701,46"
,"6223,98"
,"8174,03"
,"3411,33"
,"8174,03"
,"3411,33"
,"8174,03"
,"3440,75"
,"3411,33"
,"3411,33"
,"8174,03"
,"2701,46"
,"3411,33"
,"10373,3"
,"10373,3"
,"8174,03"
,"1620,88"
,"6223,98"
,"13831,07"
,"6223,98"
,"13623,39"
,"3411,33"
,"6223,98"
,"6223,98"
,"8174,03"
,"6223,98"
,"6223,98"
,"10373,3"
,"6223,98"
,"6223,98"
,"13623,39"
,"2064,45"
,"3440,75"
,"10373,3"
,"2701,46"
,"3411,33"
,"8174,03"
,"2701,46"
